"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,       -4.34800066,      -16.16746852,        -16.302636,      -2.896555382,      -10.35137198,               0.5,      0.4330217809,      0.2992723457,                 0,                 0,                 0,      0.2337448308,      0.4330217809,      0.2992723457,                 0,      0.6911253865,    0.002683839546
          0,           0,           1,      -4.784828836,      -4.593832135,      -4.340811991,      -3.325765012,      -10.72962475,               0.5,      0.5061299295,      0.2038664711,                 0,                 0,                 0,      0.2331069904,      0.5061299295,      0.2038664711,                 0,      0.4027947355,    0.002683839546
          0,           0,           2,       -4.97952898,      -4.808148098,      -4.596735531,      -3.524711205,      -10.77943327,               0.5,      0.4591189522,      0.1288862457,                 0,                 0,                 0,      0.1961535043,      0.4591189522,      0.1288862457,                 0,      0.2807251695,    0.002929053614
          0,           0,           3,      -5.133018875,       -4.87370844,       -4.69357669,      -3.681096594,      -10.73646881,               0.5,      0.4239076882,     0.09224219338,                 0,                 0,                 0,      0.1757591022,      0.4239076882,     0.09224219338,                 0,      0.2175997179,    0.002929053614
          0,           0,           4,      -5.195604467,      -4.893523075,      -4.723704097,      -3.746692406,      -10.67635563,               0.5,      0.3992430834,      0.0791754484,                 0,                 0,                 0,      0.1662444691,      0.3992430834,      0.0791754484,                 0,      0.1983138887,    0.003490329898
          0,           0,           5,      -5.216188911,      -4.888246957,      -4.724740491,      -3.769770887,      -10.61749744,               0.5,      0.3773594188,     0.07776503069,                 0,                 0,                 0,       0.162491339,      0.3773594188,     0.07776503069,                 0,      0.2060768245,    0.002683839546
          0,           0,           6,      -5.217957303,      -4.868221329,      -4.715379246,      -3.773787751,      -10.56618107,               0.5,      0.3552906667,     0.08138179128,                 0,                 0,                 0,      0.1607334737,      0.3552906667,     0.08138179128,                 0,      0.2290569353,    0.003490329898
          0,           0,           7,       -5.21254137,      -4.843212797,      -4.701060009,      -3.770436515,      -10.52695325,               0.5,      0.3321526044,     0.08848627727,                 0,                 0,                 0,       0.159080186,      0.3321526044,     0.08848627727,                 0,      0.2664024791,    0.004760657185
          0,           0,           8,      -5.203847569,        -4.8162457,      -4.685469943,      -3.763437223,      -10.50070598,               0.5,      0.3078368392,     0.09708669698,                 0,                 0,                 0,      0.1570559687,      0.3078368392,     0.09708669698,                 0,      0.3153836209,    0.005567147538
          0,           0,           9,      -5.193833659,      -4.788232796,      -4.670224671,      -3.754820828,      -10.48706412,               0.5,       0.282645336,      0.1057529137,                 0,                 0,                 0,      0.1533281121,       0.282645336,      0.1057529137,                 0,      0.3741541084,    0.004760657185
          0,           0,          10,      -5.183813922,      -4.760911489,      -4.656006491,      -3.745819189,      -10.48379423,               0.5,      0.2572025633,       0.115769978,                 0,                 0,                 0,      0.1491659379,      0.2572025633,       0.115769978,                 0,      0.4501120693,    0.005567147538
          0,           0,          11,      -5.173871519,      -4.734539492,      -4.643012334,      -3.736625264,      -10.48652856,               0.5,      0.2317862097,      0.1252919814,                 0,                 0,                 0,      0.1435376295,      0.2317862097,      0.1252919814,                 0,      0.5405497658,    0.004760657185
          0,           0,          12,      -5.164726256,      -4.709299941,      -4.631041049,      -3.727908948,      -10.49177138,               0.5,      0.2068088591,      0.1357460569,                 0,                 0,                 0,      0.1376202954,      0.2068088591,      0.1357460569,                 0,      0.6563841488,    0.005567147538
          0,           0,          13,      -5.156150589,      -4.685468866,       -4.61992528,      -3.719532249,      -10.49749732,               0.5,      0.1823872424,      0.1454307546,                 0,                 0,                 0,      0.1305659767,      0.1823872424,      0.1454307546,                 0,      0.7973735044,    0.004760657185
          0,           0,          14,      -5.148388395,      -4.663553094,      -4.609454574,      -3.711738616,      -10.50298276,               0.5,      0.1589894164,      0.1558067653,                 0,                 0,                 0,      0.1230754218,      0.1589894164,      0.1558067653,                 0,       0.979981994,    0.005567147538
          0,           0,          15,       -5.14142745,      -4.643395717,      -4.599709231,      -3.704591065,       -10.5075945,               0.5,       0.136756356,      0.1647656896,                 0,                 0,                 0,      0.1142745427,       0.136756356,      0.1647656896,                 0,       1.204811933,    0.004760657185
          0,           0,          16,      -5.135032683,      -4.624962653,      -4.590674522,      -3.697845781,      -10.51148304,               0.5,      0.1158992995,      0.1735130063,                 0,                 0,                 0,      0.1050086918,      0.1158992995,      0.1735130063,                 0,       1.497101424,    0.005567147538
          0,           0,          17,      -5.128762073,      -4.608058044,      -4.582485035,      -3.691054358,      -10.51456568,               0.5,     0.09641512593,      0.1809867679,                 0,                 0,                 0,     0.09504495173,     0.09641512593,      0.1809867679,                 0,       1.877161557,    0.004760657185
          0,           0,          18,      -5.122404224,      -4.592582214,      -4.575206926,      -3.683992335,      -10.51709938,               0.5,     0.07854111076,      0.1879369829,                 0,                 0,                 0,     0.08488715491,     0.07854111076,      0.1879369829,                 0,       2.392848549,    0.005567147538
