"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.003918143,      -5.973151352,      -6.268039622,       -6.34242412,      -5.394274302,      -9.516123811
          0,           0,          55,      -5.981918128,      -5.975200183,      -6.287323018,       -6.34445167,       -5.37107085,      -9.502433434
          0,           0,          56,      -5.956684014,      -5.977958017,      -6.302408561,      -6.343099613,      -5.344564363,      -9.490545233
          0,           0,          57,      -5.934705357,      -5.981746739,      -6.312840262,       -6.33843965,      -5.321213563,      -9.480385345
          0,           0,          58,      -5.914298898,      -5.986776153,      -6.319118945,      -6.332050606,      -5.299578124,      -9.471857737
          0,           0,          59,      -5.897412612,      -5.992794421,      -6.321301818,      -6.323864162,      -5.281525188,      -9.464847617
          0,           0,          60,      -5.886748819,      -5.998801689,        -6.3198649,      -6.315141598,      -5.269764844,      -9.459215897
          0,           0,          61,      -5.882653663,      -6.004719423,      -6.315448887,      -6.306019331,      -5.264690387,      -9.454829727
          0,           0,          62,      -5.882884327,      -6.011720707,      -6.309040138,      -6.296748746,      -5.264120252,      -9.451409984
          0,           0,          63,      -5.886458644,      -6.019430075,      -6.301425282,      -6.287218462,      -5.266984582,      -9.449225929
          0,           0,          64,      -5.892066363,      -6.026481037,      -6.293178726,      -6.277569788,      -5.271947099,      -9.447743086
          0,           0,          65,      -5.900499736,      -6.032113827,      -6.284727089,      -6.267992439,      -5.279737868,      -9.446880341
          0,           0,          66,      -5.912872984,      -6.036256932,      -6.276482816,      -6.259162867,      -5.291459811,      -9.446470876
          0,           0,          67,      -5.927463243,      -6.041218465,      -6.269029052,      -6.251662319,      -5.305498882,      -9.446418368
          0,           0,          68,      -5.944166334,      -6.045288496,      -6.262425648,       -6.24512181,      -5.321752834,      -9.446600079
          0,           0,          69,      -5.963012559,      -6.048724992,      -6.256846509,       -6.23958736,       -5.34021719,      -9.446916071
          0,           0,          70,       -5.98372277,      -6.051869575,      -6.252485964,      -6.235187117,      -5.360635797,      -9.447270345
          0,           0,          71,      -6.006595629,      -6.054889391,      -6.249408745,      -6.232331891,      -5.383325363,      -9.447624836
          0,           0,          72,      -6.030280714,      -6.058187864,      -6.247690666,       -6.23088557,      -5.406981301,      -9.447842117
          0,           0,          73,      -6.052519431,      -6.061402964,      -6.247306502,      -6.230385936,       -5.42930046,       -9.44789218
          0,           0,          74,      -6.072739419,      -6.064394888,      -6.248063078,      -6.230753578,      -5.449633641,      -9.447867299
          0,           0,          75,      -6.090305639,      -6.067170103,      -6.249880111,      -6.231828515,      -5.467301967,      -9.447630326
          0,           0,          76,      -6.104707681,      -6.069843837,      -6.252658538,      -6.233205144,       -5.48176261,      -9.447355245
          0,           0,          77,      -6.118799883,      -6.072473147,      -6.256286751,      -6.234961625,      -5.495753459,      -9.446944225
