Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
-0.0803147,-0.0271693,,,,,,,,,,,,,,,,,,,,,,,
-0.0481227,-0.0273141,,,,,,,,,,,,,,,,,,,,,,,
-0.0160299,-0.0274548,,,,,,,,,,,,,,,,,,,,,,,
0.0160299,-0.0275916,,,,,,,,,,,,,,,,,,,,,,,
0.0481227,-0.0277246,,,,,,,,,,,,,,,,,,,,,,,
0.0803147,-0.0278539,,,,,,,,,,,,,,,,,,,,,,,
0.112673,-0.0279797,,,,,,,,,,,,,,,,,,,,,,,
0.145266,-0.028102,,,,,,,,,,,,,,,,,,,,,,,
0.178164,-0.0282208,,,,,,,,,,,,,,,,,,,,,,,
0.21144,-0.0283362,,,,,,,,,,,,,,,,,,,,,,,
0.24517,-0.028448,,,,,,,,,,,,,,,,,,,,,,,
0.279435,-0.0285562,,,,,,,,,,,,,,,,,,,,,,,
0.31432,-0.0286607,,,,,,,,,,,,,,,,,,,,,,,
0.349915,-0.0287614,,,,,,,,,,,,,,,,,,,,,,,
0.386318,-0.0288579,,,,,,,,,,,,,,,,,,,,,,,
0.423634,-0.0289501,,,,,,,,,,,,,,,,,,,,,,,
0.461978,-0.0290376,,,,,,,,,,,,,,,,,,,,,,,
0.501476,-0.0291199,,,,,,,,,,,,,,,,,,,,,,,
0.542264,-0.0291966,,,,,,,,,,,,,,,,,,,,,,,
0.584496,-0.029267,,,,,,,,,,,,,,,,,,,,,,,
0.628342,-0.0293304,,,,,,,,,,,,,,,,,,,,,,,
0.67399,-0.0293859,,,,,,,,,,,,,,,,,,,,,,,
0.721656,-0.0294323,,,,,,,,,,,,,,,,,,,,,,,
0.77158,-0.0294688,,,,,,,,,,,,,,,,,,,,,,,
0.824037,-0.0294928,,,,,,,,,,,,,,,,,,,,,,,
0.879342,-0.0295055,,,,,,,,,,,,,,,,,,,,,,,
0.937857,-0.0294969,,,,,,,,,,,,,,,,,,,,,,,
1.00297,-0.0294728,,,,,,,,,,,,,,,,,,,,,,,
1.0061,-0.02947,,,,,,,,,,,,,,,,,,,,,,,
1.00939,-0.0294683,,,,,,,,,,,,,,,,,,,,,,,
1.01285,-0.0294659,,,,,,,,,,,,,,,,,,,,,,,
