"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.845304036,      -16.22206008,      -16.16322978,      -2.393858759,      -10.69563176
          0,           0,           1,      -4.654468659,      -3.680915499,       -3.66086958,      -3.205582144,      -10.42095101
          0,           0,           2,      -4.596391655,      -3.761004078,       -4.04064229,      -3.141879084,        -10.139167
          0,           0,           3,      -4.625545269,      -3.840567573,       -4.37233635,      -3.174511142,      -9.828829786
          0,           0,           4,      -4.740569648,      -3.906980396,      -4.309664433,      -3.295724718,      -9.528555661
          0,           0,           5,      -4.847731057,      -3.961035941,      -4.327080211,      -3.408123617,      -9.240738348
          0,           0,           6,       -4.92248212,      -4.006375819,       -4.41805504,      -3.483618653,      -8.968243712
          0,           0,           7,      -4.994744038,      -4.041783101,      -4.520994891,      -3.559724115,      -8.735199956
          0,           0,           8,      -5.074076096,      -4.066430519,       -4.57809359,      -3.650780176,       -8.59760465
          0,           0,           9,      -5.138039579,      -4.106527534,      -4.616227432,      -3.719373132,      -8.543961139
          0,           0,          10,      -5.178537047,       -4.16031204,      -4.679415259,      -3.746138143,      -8.574264146
          0,           0,          11,      -5.220034683,      -4.213726183,      -4.763425133,      -3.772930258,      -8.563313794
          0,           0,          12,      -5.278656255,      -4.260492606,      -4.828444643,      -3.829841774,         -8.571684
          0,           0,          13,      -5.342949739,      -4.300622375,      -4.853715666,      -3.907707943,      -8.648041914
          0,           0,          14,      -5.390113643,       -4.33692902,      -4.868475164,       -3.97071829,      -8.652243302
          0,           0,          15,      -5.419626857,      -4.371551806,      -4.897706224,      -4.001288654,      -8.673753323
          0,           0,          16,      -5.452441155,      -4.404770963,      -4.940866374,      -4.025002885,      -8.730629635
          0,           0,          17,      -5.501617118,      -4.436635444,      -4.986166167,      -4.065603766,      -8.758740172
          0,           0,          18,      -5.564517667,      -4.467529622,       -5.02316333,      -4.125236298,      -8.789205934
          0,           0,          19,      -5.630418899,      -4.497577906,      -5.049379714,       -4.19371291,      -8.812459184
          0,           0,          20,      -5.691088883,      -4.526137835,      -5.069222118,      -4.260216996,       -8.82944896
          0,           0,          21,      -5.745375122,      -4.552324163,      -5.088027497,      -4.320953123,      -8.842202117
