"       ""CD""      0.","       ""CL""       ",,,,,,,,,
0.117803093,1.410202794,,,,,,,,,
0.118560111,1.417215235,,,,,,,,,
0.119048595,1.423383644,,,,,,,,,
0.119226794,1.428523677,,,,,,,,,
0.119076013,1.432526254,,,,,,,,,
0.11859977,1.435360625,,,,,,,,,
0.117820461,1.437066778,,,,,,,,,
0.116779743,1.437754168,,,,,,,,,
0.115532532,1.437583348,,,,,,,,,
0.114143176,1.436755533,,,,,,,,,
0.112678901,1.435494659,,,,,,,,,
0.111208081,1.434038746,,,,,,,,,
0.109794888,1.432619998,,,,,,,,,
0.108496601,1.43145009,,,,,,,,,
0.107357385,1.430705698,,,,,,,,,
0.10640908,1.430524954,,,,,,,,,
0.105669937,1.431001227,,,,,,,,,
0.105153228,1.432187999,,,,,,,,,
0.104846664,1.434078199,,,,,,,,,
0.104726508,1.4366183,,,,,,,,,
0.104762495,1.439721986,,,,,,,,,
0.104915692,1.443271969,,,,,,,,,
0.10514296,1.447128611,,,,,,,,,
0.105404179,1.451146461,,,,,,,,,
0.10565772,1.455176602,,,,,,,,,
0.105865302,1.459077903,,,,,,,,,
0.105994915,1.462727239,,,,,,,,,
0.106020986,1.466021491,,,,,,,,,
0.105926231,1.468886315,,,,,,,,,
0.105703235,1.471280516,,,,,,,,,
0.105355031,1.473196127,,,,,,,,,
0.104891899,1.474652893,,,,,,,,,
0.104330512,1.475695665,,,,,,,,,
0.103693072,1.476391448,,,,,,,,,
0.103005754,1.476823464,,,,,,,,,
0.102295652,1.477084024,,,,,,,,,
0.101589532,1.477269315,,,,,,,,,
0.100914072,1.477473867,,,,,,,,,
0.100292419,1.477782413,,,,,,,,,
0.099743342,1.478267728,,,,,,,,,
0.099280175,1.478986014,,,,,,,,,
0.098909364,1.47997387,,,,,,,,,
0.098631732,1.481247836,,,,,,,,,
0.098443342,1.482804072,,,,,,,,,
0.098336046,1.484622785,,,,,,,,,
0.098297729,1.486669179,,,,,,,,,
0.098313501,1.48889634,,,,,,,,,
0.098365189,1.491246796,,,,,,,,,
0.098432915,1.493657492,,,,,,,,,
0.098501657,1.496071058,,,,,,,,,
0.098555525,1.498431003,,,,,,,,,
0.098581036,1.500686965,,,,,,,,,
0.098567804,1.502798,,,,,,,,,
0.098508988,1.504734408,,,,,,,,,
0.098402064,1.506479749,,,,,,,,,
0.098248233,1.508031215,,,,,,,,,
0.09805229,1.50939846,,,,,,,,,
0.097821236,1.510600482,,,,,,,,,
0.09756412,1.511664148,,,,,,,,,
0.097292634,1.512626303,,,,,,,,,
0.097017634,1.513522016,,,,,,,,,
0.096750158,1.514389977,,,,,,,,,
0.096500869,1.515269234,,,,,,,,,
