Points_0,Pressure_Coefficient,,x/c,cp
1,0.0685545,,0.9483,0.1172
0.990924,0.163369,,0.9,0.0783
0.978921,0.132877,,0.8503,0.0888
0.963157,0.0997509,,0.7998,0.0911
0.942641,0.0786722,,0.7497,0.079
0.916256,0.0672713,,0.7003,0.0809
0.882836,0.0616694,,0.6502,0.0726
0.841316,0.0598398,,0.5997,0.0885
0.790952,0.0609801,,0.5506,0.0932
0.731603,0.0651156,,0.5,0.1022
0.664007,0.0729157,,0.4503,0.1147
0.589933,0.0862017,,0.4,0.1366
0.512117,0.107142,,0.3507,0.1531
0.433912,0.135002,,0.3002,0.1866
0.358747,0.17221,,0.2501,0.2245
0.289554,0.220106,,0.2004,0.2807
0.228367,0.284181,,0.1504,0.3703
0.17618,0.367223,,0.1,0.5194
0.133057,0.464033,,0.0755,0.6255
0.0983855,0.571473,,0.051,0.7709
0.0711583,0.689164,,0.0251,0.9798
0.0502224,0.831683,,0.0122,1.0067
0.0344451,0.94944,,0,-2.4197
0.0228094,1.02641,,0.0135,-3.6981
0.0144522,1.04744,,0.0271,-2.9842
0.00866098,0.935402,,0.0515,-2.2957
0.00484455,0.610053,,0.0763,-1.9649
0.00249343,0.0882786,,0.1012,-1.7081
0.00115919,-0.551348,,0.1503,-1.3616
0.000469128,-1.11295,,0.1994,-1.1692
0.000150079,-1.60651,,0.2501,-0.999
2.72E-05,-1.98734,,0.2999,-0.8691
0,-2.37272,,0.3499,-0.7595
2.72E-05,-2.66493,,0.3994,-0.6591
0.000150079,-2.91042,,0.4496,-0.5841
0.000469128,-3.30504,,0.4997,-0.5032
0.00115919,-3.76682,,0.5492,-0.4291
0.00249343,-4.04898,,0.5994,-0.3646
0.00484455,-4.0613,,0.6495,-0.3056
0.00866098,-3.8465,,0.6996,-0.243
0.0144522,-3.49775,,0.7489,-0.1884
0.0228094,-3.15,,0.8003,-0.1189
0.0344451,-2.74186,,0.85,-0.0551
0.0502224,-2.35275,,0.8993,0.0152
0.0711583,-2.02687,,0.9489,0.087
0.0983855,-1.74978,,,
0.133057,-1.50712,,,
0.17618,-1.29596,,,
0.228367,-1.10142,,,
0.289554,-0.925822,,,
0.358747,-0.771723,,,
0.433912,-0.631061,,,
0.512117,-0.51264,,,
0.589933,-0.410189,,,
0.664007,-0.328925,,,
0.731603,-0.261497,,,
0.790952,-0.198756,,,
0.841316,-0.145063,,,
0.882836,-0.0923197,,,
0.916256,-0.0426107,,,
0.942641,-0.00221124,,,
0.963157,0.0280383,,,
0.978921,0.0455092,,,
0.990924,0.0530338,,,
