"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
0.07013179,0.948149591,,,,,,,,,,,,,
0.070813192,0.956851368,,,,,,,,,,,,,
0.071134768,0.963751522,,,,,,,,,,,,,
0.07107714,0.968681449,,,,,,,,,,,,,
0.070645454,0.971597884,,,,,,,,,,,,,
0.069868664,0.972587753,,,,,,,,,,,,,
0.0687982,0.971851179,,,,,,,,,,,,,
0.067495042,0.969676025,,,,,,,,,,,,,
0.066033589,0.966418939,,,,,,,,,,,,,
0.064493414,0.962480014,,,,,,,,,,,,,
0.062954042,0.958276209,,,,,,,,,,,,,
0.061489745,0.954209934,,,,,,,,,,,,,
0.060165329,0.950646054,,,,,,,,,,,,,
0.059032507,0.94789075,,,,,,,,,,,,,
0.058126462,0.946177321,,,,,,,,,,,,,
0.05746616,0.945655275,,,,,,,,,,,,,
0.05705419,0.946388161,,,,,,,,,,,,,
0.056877369,0.948354374,,,,,,,,,,,,,
0.056908873,0.951456816,,,,,,,,,,,,,
0.057107295,0.955530809,,,,,,,,,,,,,
0.057430605,0.960364096,,,,,,,,,,,,,
0.05782819,0.965707971,,,,,,,,,,,,,
0.058248223,0.97129809,,,,,,,,,,,,,
0.05864235,0.976871628,,,,,,,,,,,,,
0.058966127,0.982181237,,,,,,,,,,,,,
0.059182843,0.987012382,,,,,,,,,,,,,
0.059266213,0.991197463,,,,,,,,,,,,,
0.05920029,0.994620039,,,,,,,,,,,,,
0.058978143,0.997213173,,,,,,,,,,,,,
0.058604366,0.99896911,,,,,,,,,,,,,
0.058093265,0.999932275,,,,,,,,,,,,,
0.057466538,1.000192628,,,,,,,,,,,,,
0.056751625,0.999875822,,,,,,,,,,,,,
0.055979537,0.999134149,,,,,,,,,,,,,
0.055182335,0.998133706,,,,,,,,,,,,,
0.054390469,0.997042899,,,,,,,,,,,,,
0.05363528,0.996025256,,,,,,,,,,,,,
0.052942032,0.995225839,,,,,,,,,,,,,
0.052331632,0.994769026,,,,,,,,,,,,,
0.051818339,0.994745973,,,,,,,,,,,,,
0.051407423,0.99521066,,,,,,,,,,,,,
0.051096324,0.996179981,,,,,,,,,,,,,
0.050879673,0.997641565,,,,,,,,,,,,,
0.050746419,0.999550138,,,,,,,,,,,,,
0.050680686,1.001834644,,,,,,,,,,,,,
0.050663282,1.004404825,,,,,,,,,,,,,
0.05067201,1.007155736,,,,,,,,,,,,,
0.050688936,1.00997944,,,,,,,,,,,,,
0.050694769,1.012769188,,,,,,,,,,,,,
0.05067058,1.015426077,,,,,,,,,,,,,
0.050602535,1.017865495,,,,,,,,,,,,,
0.050481959,1.020022338,,,,,,,,,,,,,
0.050302935,1.021853032,,,,,,,,,,,,,
0.050063529,1.023336154,,,,,,,,,,,,,
0.049765908,1.024471583,,,,,,,,,,,,,
0.049416299,1.025279535,,,,,,,,,,,,,
0.049023306,1.025798809,,,,,,,,,,,,,
0.048598306,1.026083708,,,,,,,,,,,,,
0.048154362,1.026198417,,,,,,,,,,,,,
0.047704765,1.026212079,,,,,,,,,,,,,
0.047261866,1.02619426,,,,,,,,,,,,,
0.046837037,1.026211018,,,,,,,,,,,,,
0.046440278,1.026321083,,,,,,,,,,,,,
0.046079282,1.026572114,,,,,,,,,,,,,
0.045759258,1.026999289,,,,,,,,,,,,,
0.045482635,1.02762379,,,,,,,,,,,,,
0.045248111,1.028449497,,,,,,,,,,,,,
0.045053466,1.029470723,,,,,,,,,,,,,
0.044893776,1.03066739,,,,,,,,,,,,,
0.044762513,1.032008743,,,,,,,,,,,,,
0.044652419,1.033456523,,,,,,,,,,,,,
0.04455456,1.034966032,,,,,,,,,,,,,
0.04445985,1.036491827,,,,,,,,,,,,,
0.044360209,1.037990966,,,,,,,,,,,,,
